user_id,username,display_name,language,language_name,profile_id,profile_label,n_posts,p_ai_coding_innovations,p_ai_copyright_theft,p_ai_mass_surveillance,n_ai_coding_innovations,n_ai_copyright_theft,n_ai_mass_surveillance,emp_ai_coding_innovations,emp_ai_copyright_theft,emp_ai_mass_surveillance
user_0001,bella_brooks,Bella Brooks,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,79,10,11,0.79,0.1,0.11
user_0002,emerson_wood_2,Emerson Wood,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,14,76,10,0.14,0.76,0.1
user_0003,elizabeth_long_96,Elizabeth Long,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,10,11,79,0.1,0.11,0.79
user_0004,skyler_gibson,Skyler Gibson,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,31,39,30,0.31,0.39,0.3
user_0005,christopher_cox,Christopher Cox,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,38,51,11,0.38,0.51,0.11
user_0006,cameron_barnes,Cameron Barnes,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,36,6,58,0.36,0.06,0.58
user_0007,olivia_brooks_7,Olivia Brooks,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,8,37,55,0.08,0.37,0.55
user_0008,scarlett_nguyen,Scarlett Nguyen,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,81,7,12,0.81,0.07,0.12
user_0009,mia_kennedy9,Mia Kennedy,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,10,81,9,0.1,0.81,0.09
user_0010,victoria_kim10,Victoria Kim,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,12,14,74,0.12,0.14,0.74
user_0011,bella_washington_51,Bella Washington,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,34,38,28,0.34,0.38,0.28
user_0012,nora_washington_57,Nora Washington,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,36,56,8,0.36,0.56,0.08
user_0013,rowan_simmons_13,Rowan Simmons,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,46,9,45,0.46,0.09,0.45
user_0014,gabriel_wallace14,Gabriel Wallace,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,10,49,41,0.1,0.49,0.41
user_0015,natalie_henry,Natalie Henry,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,83,9,8,0.83,0.09,0.08
user_0016,violet_bailey16,Violet Bailey,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,6,86,8,0.06,0.86,0.08
user_0017,anthony_gibson_62,Anthony Gibson,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,10,12,78,0.1,0.12,0.78
user_0018,bella_rice,Bella Rice,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,37,32,31,0.37,0.32,0.31
user_0019,riley_walsh_78,Riley Walsh,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,53,40,7,0.53,0.4,0.07
user_0020,adrian_simpson_87,Adrian Simpson,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,49,10,41,0.49,0.1,0.41
user_0021,aurora_chen,Aurora Chen,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,10,43,47,0.1,0.43,0.47
user_0022,finley_hamilton_62,Finley Hamilton,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,75,8,17,0.75,0.08,0.17
user_0023,daniel_simpson_30,Daniel Simpson,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,11,80,9,0.11,0.8,0.09
user_0024,emma_murphy_24,Emma Murphy,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,15,9,76,0.15,0.09,0.76
user_0025,nathan_ellis_25,Nathan Ellis,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,32,31,37,0.32,0.31,0.37
user_0026,nora_reed,Nora Reed,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,47,44,9,0.47,0.44,0.09
user_0027,casey_reynolds_34,Casey Reynolds,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,36,9,55,0.36,0.09,0.55
user_0028,nolan_singh,Nolan Singh,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,13,44,43,0.13,0.44,0.43
user_0029,claire_burns,Claire Burns,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,76,7,17,0.76,0.07,0.17
user_0030,alex_hughes30,Alex Hughes,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,8,85,7,0.08,0.85,0.07
user_0031,luke_rivera_12,Luke Rivera,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,9,8,83,0.09,0.08,0.83
user_0032,lily_griffin,Lily Griffin,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,25,38,37,0.25,0.38,0.37
user_0033,skylar_marshall33,Skylar Marshall,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,49,38,13,0.49,0.38,0.13
user_0034,joseph_bryant_33,Joseph Bryant,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,40,14,46,0.4,0.14,0.46
user_0035,claire_hamilton,Claire Hamilton,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,9,40,51,0.09,0.4,0.51
